Team,Week,opponent,spread,score,diff,Year,spreadscore,coverprob,predspread,order,coverprob_diff,predspread_diff
Minnesota Vikings,3,Los Angeles Chargers,-1.0,24.0,-4.0,2023,-5.0,0.5617315769195557,10.97659969329834,7.0,0.06043428182601929,16.4273419380188
Buffalo Bills,1,New York Jets,-2.5,16.0,-6.0,2023,-8.5,,,,,
Indianapolis Colts,3,Baltimore Ravens,7.5,22.0,3.0,2023,10.5,0.4382648468017578,0.8230835199356079,2.0,0.025605320930480957,1.472813367843628
Houston Texans,2,Indianapolis Colts,-1.0,20.0,-11.0,2023,-12.0,0.3685705,-1.0498883,,0.0,
Kansas City Chiefs,2,Jacksonville Jaguars,-3.5,17.0,8.0,2023,4.5,0.33910227000000004,-7.991736,,-0.14993976999999992,
New England Patriots,3,New York Jets,-3.0,15.0,5.0,2023,2.0,0.5012972950935364,-2.8531808853149414,8.0,-0.10392338037490845,-2.2639294266700745
Philadelphia Eagles,2,Minnesota Vikings,-5.5,34.0,6.0,2023,0.5,0.4612581,-4.5719843,,0.020097359999999953,
Philadelphia Eagles,1,New England Patriots,-3.5,25.0,5.0,2023,1.5,,,,,
New York Jets,1,Buffalo Bills,3.0,22.0,6.0,2023,9.0,,,,,
Seattle Seahawks,3,Carolina Panthers,-6.0,37.0,10.0,2023,4.0,0.42554259300231934,7.257826328277588,10.0,-0.12529683113098145,9.049084305763245
Jacksonville Jaguars,1,Indianapolis Colts,-4.5,31.0,10.0,2023,5.5,,,,,
Los Angeles Rams,1,Seattle Seahawks,4.5,30.0,17.0,2023,21.5,,,,,
Pittsburgh Steelers,1,San Francisco 49ers,2.0,7.0,-23.0,2023,-21.0,,,,,
Los Angeles Chargers,2,Tennessee Titans,-2.5,24.0,-3.0,2023,-5.5,0.33910227000000004,-5.080024,,-0.11537003000000001,
New Orleans Saints,3,Green Bay Packers,2.0,17.0,-1.0,2023,1.0,0.5439226031303406,0.01796538755297661,5.0,0.012991189956665039,-5.757501054555178
Carolina Panthers,3,Seattle Seahawks,6.0,27.0,-10.0,2023,-4.0,0.5508394241333008,-1.7912579774856567,10.0,0.12529683113098145,-9.049084305763245
Arizona Cardinals,5,Cincinnati Bengals,3.0,,,2023,,0.48315563797950745,5.9230217933654785,8.0,-0.002849489450454712,9.641736507415771
Atlanta Falcons,5,Houston Texans,-2.0,,,2023,,0.45279622077941895,-6.911973476409912,2.0,0.0288144052028656,-0.3220548629760742
Baltimore Ravens,5,Pittsburgh Steelers,-4.0,,,2023,,0.4449828267097473,0.9497218728065491,3.0,-0.06090819835662842,1.7529518604278564
Buffalo Bills,5,Jacksonville Jaguars,-5.5,,,2023,,0.40142080187797546,-6.851444721221924,1.0,-0.04293903708457947,0.5385322570800781
Carolina Panthers,5,Detroit Lions,10.0,,,2023,,0.4368607997894287,-2.123892307281494,4.0,0.021606117486953735,2.790390968322754
Chicago Bears,5,Washington Commanders,6.0,,,2023,,0.4623674750328064,3.1122636795043945,0.0,-0.13965272903442383,0.6755142211914062
Cincinnati Bengals,5,Arizona Cardinals,-3.0,,,2023,,0.48600512742996216,-3.718714714050293,8.0,0.002849489450454712,-9.641736507415771
Cleveland Browns,5,,,,,2023,,0.47835469245910645,0.09318097680807114,,,
